,feature,mean,q.05,q.95,type
0,x1,-0.0008807417437772004,-0.005605238825710543,0.00311339031737114,mSAGE
1,x2,-0.00023075808031209244,-0.0037615786874521007,0.005130684420951817,mSAGE
2,x3,0.00034696784954896026,-0.004959311806997251,0.00534790781131347,mSAGE
3,x4,1.5382643868459627,1.3567066710000162,1.7683464391330377,mSAGE
4,x5,1.5097643218460615,1.2809536893598192,1.6953555239362643,mSAGE
5,x1,-0.0004085017858265613,-0.006810126927238959,0.0034436143625995773,cSAGE
6,x2,-0.0003225251713124052,-0.00219190697964657,0.0014006711937369306,cSAGE
7,x3,0.7492507850915605,0.4272163670070067,1.1706042592819332,cSAGE
8,x4,0.6237920159796287,0.3298565377090425,0.887502240615573,cSAGE
9,x5,1.678349037846478,1.4680189510577466,1.8753330645385224,cSAGE
